id,full_name,first_name_x,last_name_x,is_active,person_id,first_name_y,last_name_y,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_id,team_name,team_city,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,edad,años_jugando,undrafted
1630587,Isaiah Livers,Isaiah,Livers,1,1630587.0,Isaiah,Livers,Michigan,USA,6-6,232.0,2.0,12,Forward,Active,1610612765.0,Pistons,Detroit,2021.0,2023.0,Y,Y,Y,2021,2,42,N,27.0,2.0,0
988,Randy Livingston,Randy,Livingston,0,988.0,Randy,Livingston,Louisiana State,USA,6-4,209.0,11.0,14,Guard,Inactive,1610612756.0,Suns,Phoenix,1996.0,2006.0,Y,Y,Y,1996,2,42,N,50.0,10.0,0
2733,Shaun Livingston,Shaun,Livingston,0,2733.0,Shaun,Livingston,No College,USA,6-7,192.0,16.0,34,Guard,Inactive,1610612744.0,Warriors,Golden State,2004.0,2018.0,Y,Y,Y,2004,1,4,N,40.0,14.0,0
77392,Ron Livingstone,Ron,Livingstone,0,77392.0,Ron,Livingstone,Wyoming,USA,6-10,220.0,2.0,6,Center,Inactive,1610612744.0,Warriors,Philadelphia,1949.0,1950.0,N,Y,Y,1949,1,6,N,100.0,1.0,0
1024,Horacio Llamas,Horacio,Llamas,0,1024.0,Horacio,Llamas,Grand Canyon,USA,6-11,285.0,3.0,54,Center,Inactive,1610612756.0,Suns,Phoenix,1996.0,2002.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,52.0,6.0,0
77394,Earl Lloyd,Earl,Lloyd,0,77394.0,Earl,Lloyd,West Virginia State,USA,6-6,200.0,9.0,17,Forward,Inactive,1610612755.0,Nationals,Syracuse,1950.0,1959.0,N,Y,Y,1950,9,,N,97.0,9.0,0
77395,Lewis Lloyd,Lewis,Lloyd,0,77395.0,Lewis,Lloyd,Drake,USA,6-6,205.0,7.0,32,Guard,Inactive,1610612745.0,Rockets,Houston,1981.0,1989.0,N,Y,Y,1981,4,76,N,66.0,8.0,0
77396,Scott Lloyd,Scott,Lloyd,0,77396.0,Scott,Lloyd,Arizona State,USA,6-10,230.0,6.0,44,Center,Inactive,1610612742.0,Mavericks,Dallas,1976.0,1982.0,N,Y,Y,1976,2,24,N,72.0,6.0,0
77397,Bob Lochmueller,Bob,Lochmueller,0,77397.0,Bob,Lochmueller,Louisville,USA,6-5,185.0,1.0,14,Forward,Inactive,1610612755.0,Nationals,Syracuse,1952.0,1952.0,N,Y,Y,1952,1,7,N,98.0,0.0,0
77398,Robert Lock,Robert,Lock,0,77398.0,Robert,Lock,Kentucky,USA,6-9,225.0,1.0,44,Forward,Inactive,1610612746.0,Clippers,Los Angeles,1988.0,1988.0,N,Y,Y,1988,3,51,N,59.0,0.0,0
