person_id,full_name,country,position,height,weight,edad,años_jugando,undrafted,team_id
1631094.0,Paolo Banchero,USA,Forward,6-10,250.0,22.0,1.0,0,1610612753.0
1630217.0,Desmond Bane,USA,Guard,6-5,215.0,27.0,3.0,0,1610612763.0
76093.0,Gene Banks,USA,Forward,6-7,215.0,66.0,5.0,0,1610612759.0
2556.0,Marcus Banks,USA,Guard,6-2,205.0,43.0,7.0,0,1610612738.0
76094.0,Ken Bannister,USA,Forward,6-9,235.0,65.0,6.0,0,1610612752.0
76095.0,Mike Bantom,USA,Forward,6-9,200.0,73.0,8.0,0,1610612754.0
1630625.0,Dalano Banton,Canada,Forward,6-7,204.0,25.0,2.0,0,1610612761.0
1627760.0,Cat Barber,USA,Guard,6-1,173.0,31.0,0.0,0,0.0
76096.0,John Barber,USA,Forward,6-6,210.0,98.0,0.0,0,1610612737.0
76097.0,Stephen Bardo,USA,Guard,6-5,190.0,57.0,4.0,0,1610612742.0
200826.0,J.J. Barea,Puerto Rico,Guard,5-10,180.0,41.0,13.0,0,1610612742.0
76098.0,Cliff Barker,USA,Guard,6-2,185.0,104.0,2.0,0,1610610030.0
76099.0,Tom Barker,USA,Center,6-11,225.0,70.0,2.0,0,1610612737.0
787.0,Charles Barkley,USA,Forward,6-6,252.0,62.0,15.0,0,1610612755.0
2057.0,Erick Barkley,USA,Guard,6-1,185.0,47.0,2.0,0,1610612757.0
76102.0,Don Barksdale,USA,Forward,6-6,200.0,102.0,3.0,0,1610612738.0
1631230.0,Dominick Barlow,USA,Forward,6-9,215.0,22.0,1.0,0,1610612759.0
203084.0,Harrison Barnes,USA,Forward,6-8,225.0,33.0,11.0,0,1610612758.0
76105.0,Jim Barnes,USA,Center,6-8,210.0,84.0,6.0,0,1610612738.0
76104.0,Marvin Barnes,USA,Forward,6-9,210.0,73.0,3.0,0,1610612746.0
2440.0,Matt Barnes,USA,Forward,6-7,226.0,45.0,14.0,0,1610612746.0
1630567.0,Scottie Barnes,USA,Forward,6-8,225.0,24.0,2.0,0,1610612761.0
76106.0,Jim Barnett,USA,Guard,6-4,170.0,81.0,10.0,0,1610612744.0
76108.0,John Barnhill,USA,Guard,6-1,180.0,87.0,6.0,0,1610612737.0
76109.0,Norton Barnhill,USA,Guard,6-4,205.0,72.0,0.0,0,1610612760.0
76110.0,Leo Barnhorst,USA,Forward,6-4,190.0,101.0,4.0,0,1610610030.0
76111.0,John Barr,USA,Forward,6-3,205.0,107.0,0.0,0,1610610034.0
76112.0,Mike Barr,USA,Guard,6-3,180.0,75.0,0.0,0,1610612758.0
76114.0,Ernie Barrett,USA,Desconocido,Desconocido,210.0,96.0,55.0,0,0.0
1629628.0,RJ Barrett,Canada,Forward-Guard,6-6,214.0,25.0,4.0,0,1610612752.0
2853.0,Earl Barron,USA,Forward-Center,7-0,250.0,44.0,9.0,0,1610612748.0
344.0,Dana Barros,USA,Guard,5-11,165.0,58.0,14.0,0,1610612738.0
699.0,Brent Barry,USA,Guard,6-7,210.0,53.0,13.0,0,1610612760.0
1003.0,Drew Barry,USA,Guard,6-5,191.0,52.0,2.0,0,1610612737.0
468.0,Jon Barry,USA,Guard,6-5,210.0,56.0,13.0,0,0.0
600013.0,Rick Barry,USA,Forward,6-7,205.0,81.0,14.0,0,1610612744.0
76117.0,Ed Bartels,USA,Forward,6-6,195.0,100.0,1.0,0,1610610036.0
76118.0,Vic Bartolome,USA,Center,7-0,230.0,77.0,0.0,0,1610612744.0
203115.0,Will Barton,USA,Guard,6-5,181.0,34.0,11.0,0,1610612761.0
101188.0,Eddie Basden,USA,Guard,6-5,215.0,42.0,0.0,0,1610612741.0
101138.0,Brandon Bass,USA,Forward,6-8,250.0,40.0,11.0,0,1610612738.0
1628238.0,Paris Bass,USA,Forward,6-8,200.0,30.0,0.0,0,0.0
76120.0,Tim Bassett,USA,Forward,6-8,225.0,74.0,3.0,0,1610612751.0
1629646.0,Charles Bassey,Nigeria,Center-Forward,6-9,230.0,24.0,2.0,0,1610612759.0
1766.0,Maceo Baston,USA,Forward,6-10,230.0,49.0,6.0,0,1610612754.0
2370.0,Mengke Bateer,China,Center,6-11,290.0,49.0,2.0,0,0.0
76121.0,Billyray Bates,USA,Guard,6-4,210.0,69.0,3.0,0,1610612757.0
1499.0,Tony Battie,USA,Center,6-11,240.0,49.0,14.0,0,1610612738.0
2203.0,Shane Battier,USA,Forward,6-8,220.0,47.0,12.0,0,1610612763.0
76124.0,Dave Batton,USA,Center,6-10,240.0,69.0,1.0,0,1610612764.0
201587.0,Nicolas Batum,France,Guard-Forward,6-8,230.0,36.0,15.0,0,1610612746.0
