game_id,league_id,lead_changes,times_tied,team_id,team_abbreviation,team_city,pts_paint,pts_2nd_chance,pts_fb,largest_lead,team_turnovers,total_turnovers,team_rebounds,pts_off_to,venue
29800714,0,0,3,1610612752,NYK,New York,58,19,6,14,0.0,14.0,6.0,0.0,home
29800725,0,13,8,1610612763,VAN,Vancouver,48,8,14,10,0.0,16.0,7.0,0.0,home
49800002,0,11,6,1610612757,POR,Portland,46,7,12,12,0.0,,,0.0,home
49800004,0,0,1,1610612737,ATL,Atlanta,40,10,12,22,0.0,,,0.0,home
49800003,0,0,0,1610612762,UTA,Utah,64,16,27,30,0.0,,,0.0,home
49800006,0,15,16,1610612750,MIN,Minnesota,24,13,4,6,1.0,,,0.0,home
49800008,0,4,3,1610612754,IND,Indiana,40,32,8,22,0.0,,,0.0,home
49800005,0,10,6,1610612753,ORL,Orlando,30,21,9,5,1.0,,,0.0,home
49800009,0,2,3,1610612752,NYK,New York,30,12,11,1,0.0,,,0.0,home
49800010,0,5,11,1610612737,ATL,Atlanta,42,16,9,23,0.0,,,0.0,home
49800012,0,0,0,1610612756,PHX,Phoenix,32,12,12,0,1.0,,,0.0,home
49800011,0,11,8,1610612762,UTA,Utah,36,19,12,7,1.0,,,0.0,home
49800016,0,0,0,1610612745,HOU,Houston,30,16,18,0,0.0,,,0.0,home
49800013,0,2,2,1610612755,PHI,Philadelphia,20,8,14,2,1.0,,,0.0,home
49800014,0,7,2,1610612750,MIN,Minnesota,28,15,4,11,1.0,,,0.0,home
49800017,0,1,2,1610612737,ATL,Atlanta,20,9,6,2,1.0,,,0.0,home
49800019,0,3,3,1610612756,PHX,Phoenix,42,4,15,6,0.0,,,0.0,home
49800018,0,6,5,1610612752,NYK,New York,34,17,7,30,0.0,,,0.0,home
49800023,0,14,12,1610612749,MIL,Milwaukee,30,14,9,4,0.0,,,0.0,home
49800022,0,8,3,1610612750,MIN,Minnesota,22,16,6,2,1.0,,,0.0,home
49800024,0,9,4,1610612745,HOU,Houston,46,21,12,14,1.0,,,0.0,home
49800021,0,0,0,1610612755,PHI,Philadelphia,48,19,17,23,1.0,,,0.0,home
49800025,0,4,9,1610612752,NYK,New York,16,15,3,11,1.0,,,0.0,home
49800031,0,7,9,1610612759,SAS,San Antonio,30,8,6,9,1.0,,,0.0,home
49800030,0,9,7,1610612755,PHI,Philadelphia,30,20,23,18,1.0,,,0.0,home
49800032,0,5,9,1610612745,HOU,Houston,32,16,8,4,0.0,,,0.0,home
49800037,0,6,6,1610612758,SAC,Sacramento,42,16,13,3,0.0,,,0.0,home
49800035,0,11,4,1610612737,ATL,Atlanta,30,15,6,14,2.0,,,0.0,home
49800042,0,2,2,1610612747,LAL,Los Angeles,32,17,3,12,2.0,,,0.0,home
49800041,0,17,8,1610612754,IND,Indiana,36,10,10,13,1.0,,,0.0,home
49800044,0,5,11,1610612762,UTA,Utah,30,14,13,10,1.0,,,0.0,home
49800043,0,2,5,1610612752,NYK,New York,32,10,17,17,1.0,,,0.0,home
49800045,0,4,1,1610612754,IND,Indiana,26,11,2,17,1.0,,,0.0,home
49800048,0,7,9,1610612757,POR,Portland,34,12,6,9,0.0,,,0.0,home
49800047,0,5,9,1610612752,NYK,New York,24,10,13,11,1.0,,,0.0,home
49800049,0,1,6,1610612754,IND,Indiana,40,15,19,16,0.0,,,0.0,home
49800050,0,4,2,1610612757,POR,Portland,34,18,10,25,0.0,,,0.0,home
49800052,0,4,2,1610612754,IND,Indiana,20,14,16,17,0.0,,,0.0,home
49800054,0,0,1,1610612759,SAS,San Antonio,46,6,21,17,0.0,,,0.0,home
49800055,0,2,8,1610612762,UTA,Utah,34,2,12,4,0.0,,,0.0,home
49800053,0,1,4,1610612752,NYK,New York,48,15,17,18,0.0,,,0.0,home
49800056,0,4,1,1610612752,NYK,New York,26,3,13,24,2.0,,,0.0,home
49800058,0,0,0,1610612762,UTA,Utah,30,7,12,19,2.0,,,0.0,home
49800062,0,7,7,1610612757,POR,Portland,30,8,2,12,0.0,,,0.0,home
49800069,0,17,12,1610612752,NYK,New York,24,9,22,9,0.0,,,0.0,home
49800078,0,1,4,1610612757,POR,Portland,22,13,8,8,0.0,,,0.0,home
49800079,0,3,0,1610612757,POR,Portland,22,10,3,8,1.0,,,0.0,home
49800072,0,1,2,1610612752,NYK,New York,52,7,10,4,1.0,,,0.0,home
49800073,0,11,6,1610612752,NYK,New York,40,11,18,8,0.0,,,0.0,home
49800074,0,3,11,1610612752,NYK,New York,36,6,11,8,1.0,,,0.0,home
49800083,0,4,7,1610612752,NYK,New York,36,23,16,6,0.0,,,0.0,home
49800084,0,4,0,1610612759,SAS,San Antonio,38,9,12,15,2.0,,,0.0,home
49800085,0,0,1,1610612752,NYK,New York,30,13,5,14,1.0,,,0.0,home
49800086,0,6,6,1610612752,NYK,New York,38,11,14,4,0.0,,,0.0,home
29900013,0,2,3,1610612763,VAN,Vancouver,30,23,8,1,1.0,17.0,7.0,0.0,home
29900005,0,4,5,1610612753,ORL,Orlando,40,14,11,4,2.0,24.0,5.0,0.0,home
29900002,0,0,2,1610612751,NJN,New Jersey,40,20,8,0,0.0,18.0,9.0,0.0,home
29900012,0,4,3,1610612760,SEA,Seattle,48,12,27,18,0.0,11.0,13.0,0.0,home
29900003,0,14,15,1610612737,ATL,Atlanta,32,12,14,4,0.0,23.0,8.0,0.0,home
29900006,0,0,1,1610612761,TOR,Toronto,26,17,27,0,0.0,17.0,9.0,0.0,home
29900009,0,7,8,1610612759,SAS,San Antonio,38,8,23,21,2.0,22.0,13.0,0.0,home
29900011,0,8,5,1610612747,LAL,Los Angeles,26,11,14,10,0.0,16.0,6.0,0.0,home
29900001,0,0,0,1610612739,CLE,Cleveland,18,18,5,0,1.0,19.0,12.0,0.0,home
29900004,0,2,3,1610612765,DET,Detroit,52,12,10,1,0.0,19.0,12.0,0.0,home
29900007,0,0,5,1610612744,GSW,Golden State,26,18,20,0,0.0,23.0,3.0,0.0,home
29900008,0,6,3,1610612749,MIL,Milwaukee,38,12,17,9,0.0,8.0,11.0,0.0,home
29900018,0,17,8,1610612747,LAL,Los Angeles,52,18,19,17,0.0,13.0,7.0,0.0,home
29900019,0,0,1,1610612746,LAC,Los Angeles,46,14,6,0,1.0,12.0,6.0,0.0,home
29900016,0,9,3,1610612739,CLE,Cleveland,36,17,21,15,0.0,27.0,9.0,0.0,home
29900015,0,7,6,1610612765,DET,Detroit,22,6,13,10,1.0,20.0,8.0,0.0,home
29900017,0,2,5,1610612741,CHI,Chicago,26,12,2,7,0.0,10.0,15.0,0.0,home
29900014,0,3,9,1610612738,BOS,Boston,50,24,18,25,0.0,16.0,7.0,0.0,home
29900025,0,13,7,1610612756,PHX,Phoenix,38,16,13,9,1.0,26.0,11.0,0.0,home
29900020,0,4,5,1610612754,IND,Indiana,26,9,4,3,0.0,32.0,6.0,0.0,home
29900026,0,10,12,1610612760,SEA,Seattle,50,17,27,15,1.0,12.0,5.0,0.0,home
29900022,0,13,8,1610612748,MIA,Miami,34,9,16,8,0.0,18.0,8.0,0.0,home
29900021,0,16,5,1610612737,ATL,Atlanta,46,15,21,3,0.0,26.0,10.0,0.0,home
29900023,0,4,7,1610612744,GSW,Golden State,38,21,14,2,0.0,17.0,9.0,0.0,home
29900024,0,0,1,1610612745,HOU,Houston,26,4,9,0,3.0,26.0,11.0,0.0,home
29900032,0,15,4,1610612745,HOU,Houston,52,18,13,3,0.0,20.0,10.0,0.0,home
29900029,0,7,3,1610612739,CLE,Cleveland,46,13,15,9,1.0,21.0,10.0,0.0,home
